Restaurant ID,Restaurant Name,Menu Item,Description,Price,Link,Calories,Protein (g),Fat (g),Carbs (g)
1,Hoods Resto & Bar,Cheddar French Fries,French fries topped with melted Cheddar cheese. Served with Cheddar cheese.,AED 29,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,320,12,20,35
1,Hoods Resto & Bar,Potato Wedges,Selection of skin-on or skin-off potato served with ketchup.,AED 30,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,250,3,12,35
1,Hoods Resto & Bar,Dirty Fries,"French fries topped with shredded beef, yellow pepper, red pepper, green pepper, homemade sauce, tomato, onion, coriander leaves, and melted cheese.",AED 37,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,420,18,28,30
1,Hoods Resto & Bar,Crunchy Crudité,"Carrot, cucumber, cauliflower, red pepper, yellow pepper, green pepper, red radish, and mint. Served with cocktail sauce.",AED 32,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,120,2,1,26
1,Hoods Resto & Bar,Golden Avocado Sticks,Fried avocado slices served with cocktail sauce.,AED 25,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,181,2,12,17
1,Hoods Resto & Bar,Tribeca Chicken Noodle Soup,"Chicken, chicken stock, noodles, carrot, onion, garlic, salt, and pepper.",AED 41,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,132,10,4,13
1,Hoods Resto & Bar,Isola Soup,"Calamari, shrimps, dill leaves, mussels, cooking cream, salt, and pepper.",AED 48,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,256,23,15,6
1,Hoods Resto & Bar,Altura Mushroom Soup,"Onion, garlic, celery, herbs, mushroom, cooking cream, salt, and pepper.",AED 37,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,193,5,13,9
1,Hoods Resto & Bar,Ripa Chicken Corn Soup,"Onion, garlic, chicken, corn, chicken stock, cooking cream, salt, and pepper.",AED 38,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,194,11,10,16
1,Hoods Resto & Bar,Tashkent Pelmeni Soup,"Onion, salt, and black pepper.",AED 50,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,85,2,0,20
1,Hoods Resto & Bar,Solyanka Soup,"Mixed vegetables, mortadella, salt, and pepper. Topped with cream.",AED 42,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,142,6,6,18
1,Hoods Resto & Bar,Alipo Lentil Soup,"Onion, garlic, celery, carrot, potato, lentil, cumin powder, salt, and pepper.",AED 32,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,174,8,1,31
1,Hoods Resto & Bar,Thai Soup,"Minced meat, coconut cream, red pepper, tomato paste, salt, and pepper.",AED 43,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,213,14,12,9
1,Hoods Resto & Bar,Albarsha Rocca Beetroot Salad,"Rocca, beetroot, feta cheese, and corn. Dressing: lemon and olive oil.",AED 40,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,132,2,6,18
1,Hoods Resto & Bar,Moscow Olivier Salad,"Mortadella beef, pickled cucumber, boiled eggs, carrot, potato, and green peas. Dressing: mixed mayonnaise with salt and pepper.",AED 59,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,530,17,37,35
1,Hoods Resto & Bar,Chelsea Exotic Salad,"Mango, avocado, rocket leaves, grapes, yellow pepper, and cherry tomato. Dressing: vinaigrette and honey mustard.",AED 66,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,320,3,18,38
1,Hoods Resto & Bar,Greenwich Thai Kale Shrimp Salad,"Baby spinach, baby arugula, red pepper, yellow pepper, carrot, kale, and mango. Dressing: vinaigrette and honey mustard.",AED 51,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,280,9,12,40
1,Hoods Resto & Bar,Mayfair Smoked Salmon Salad,"Lettuce, baby spinach, baby arugula, cherry tomato, avocado, black olives, capers, green apple, and dill leaves. Dressing: balsamic vinegar with dill.",AED 76,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,420,14,30,15
1,Hoods Resto & Bar,Chiswick Caesar Salad,"Iceberg, red cherry tomato, crouton, and Parmesan cheese. Dressing: Caesar sauce.",AED 58,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,250,6,14,24
1,Hoods Resto & Bar,Al Hatma Blueberry Salad,"Baby spinach, arugula, iceberg, blueberry, raspberry, strawberry, green apple, avocado, pomegranate, walnuts, and feta cheese. Dressing: blueberry sauce.",AED 77,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,380,8,26,27
1,Hoods Resto & Bar,Kale Quinoa Salad,"Kale leaves, quinoa, cherry tomato, carrot, red bell pepper, salt, and pepper. Dressing: lemon and olive oil.",AED 63,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,280,6,12,38
1,Hoods Resto & Bar,Sursock Fattoush Salad,"Lettuce, cucumber, tomato, red onion, green pepper, radish, pomegranate seeds, black olives, fresh mint, and bread. Dressing: pomegranate sauce.",AED 52,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,210,4,11,25
1,Hoods Resto & Bar,Bliss Street Fajita Chicken,"Julian cut chicken breast with Mexican marinade, green pepper, red pepper, yellow pepper, white onion, coriander, garlic, and black pepper. Served with tortilla bread, guacamole sauce, sour cream sauce, and Mexican sauce.",AED 78,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,350,20,14,28
1,Hoods Resto & Bar,Paris Chicken Stroganoff,"Chicken breast, brown sauce, tomato sauce, onion, garlic, salt, pepper, dry herbs, and cooking cream sauce.",AED 59,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,320,24,14,10
1,Hoods Resto & Bar,Yorkville Chicken Manchurian,"Fried chicken, garlic, ginger, green pepper, yellow pepper, red pepper, salt, pepper, oyster sauce, ketchup, and spring onion.",AED 58,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,340,22,14,30
1,Hoods Resto & Bar,Bab Sharqi Chicken Escalope,"Fried breaded chicken breast, mozzarella cheese, Cheddar cheese, Parmesan cheese, and Hoods special sauce.",AED 62,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,480,40,28,14
1,Hoods Resto & Bar,Baked Potato in Mexican Style Chicken,"Baked potato, chicken strips in Mexican marinade, green pepper, red pepper, yellow pepper, white onion, and cheese. Served with sour cream, guacamole, and Mexican sauce.",AED 57,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,380,25,16,28
1,Hoods Resto & Bar,Abu Hail Honey Mustard Chicken,"Chicken breast, turkey bacon, honey, mustard, and cooking cream.",AED 68,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,290,30,12,16
1,Hoods Resto & Bar,Nolita Stuffed Chicken Breast,"Fried breaded chicken breast, baby spinach, white onion, garlic, 3 types of cheese, and homemade spinach bread.",AED 74,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,420,40,20,18
1,Hoods Resto & Bar,Beef Stroganoff,"Julian cut beef, red pepper, yellow pepper, green pepper, mushroom, onion, garlic, herbs, cooking cream, and dill pickles.",AED 80,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,380,30,20,14
1,Hoods Resto & Bar,Baked Potato in Mexican Beef Style,"Baked potato, beef strips with Mexican marinade, red pepper, yellow pepper, green pepper, white onion, coriander, cheese, garlic, black pepper, and salt. Served with guacamole sauce, sour cream, and Mexican sauce.",AED 60,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,410,35,23,20
1,Hoods Resto & Bar,Broadway Short Ribs,Roasted short ribs served with sautéed vegetables and brown mushroom sauce.,AED 145,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,480,38,28,16
1,Hoods Resto & Bar,Sarouja Fajita Beef,"Julian cut beef with Mexican marinade, green pepper, red pepper, yellow pepper, white onion, coriander, garlic, and black pepper. Served with tortilla bread, guacamole sauce, sour cream sauce, and Mexican sauce.",AED 88,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,360,30,18,14
1,Hoods Resto & Bar,Taipei Mongolian Beef,"Fried marinated beef, green pepper, onion, and homemade sauce. Served with rice.",AED 89,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,420,35,22,20
1,Hoods Resto & Bar,Duck with Black Rice,"Duck breast, garlic, salt, pepper, herbs, and oil with black rice.",AED 128,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,273,24,14,10
1,Hoods Resto & Bar,Palacio Sirloin Steak,"Top sirloin steak, sautéed vegetables, mashed potato, and brown mushroom sauce.",AED 117,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,415,34,21,22
1,Hoods Resto & Bar,Botafogo Grilled Salmon,"220 g. Grilled salmon, sautéed vegetables, mashed potato, and creamy dill sauce.",AED 98,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,396,32,21,20
1,Hoods Resto & Bar,Sinaloa Mixed Seafood Fajita,"Calamari, shrimps, cod fish, Mexican marinade, red pepper, yellow pepper, white onion, green pepper, coriander, black pepper, and salt. Served with tortilla bread, guacamole sauce, sour cream, and Mexican sauce.",AED 88,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,345,25,14,27
1,Hoods Resto & Bar,Stir-fried Mixed Seafood,"White fillet fish, squid, baby shrimps, red pepper, yellow pepper, green pepper, mushroom, carrot, broccoli, garlic, onion, ginger, salt, pepper, and oyster sauce. Served with garlic rice.",AED 89,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,320,22,11,25
1,Hoods Resto & Bar,Crusted Tuna,"Sesame-crusted tuna, salt, pepper, and lemon juice, topped with egg yolk and caviar. Served with mango salsa, avocado salsa, and dragon fruit salsa.",AED 124,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,412,35,20,17
1,Hoods Resto & Bar,Furat Grilled Jumbo Shrimp,"Grilled jumbo shrimp, lemon juice, fresh dill, garlic, black pepper, and salt. Served with sautéed vegetables and mashed potato.",AED 126,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,320,24,13,18
1,Hoods Resto & Bar,Bondi Oriental Mixed Seafood,"Cod fish, jumbo shrimps, mussels, calamari, lemon butter sauce, and sautéed vegetables.",AED 187,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,390,31,23,19
1,Hoods Resto & Bar,Hawaii Mixed Seafood,"Shrimp, mussels, calamari, and homemade Hawaiian sauce. Topped with cheese and shrimp. Served with pineapple salsa.",AED 190,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,290,20,12,17
1,Hoods Resto & Bar,Goya French Lobster,"Roasted lobster, béchamel sauce, white onion, spring onion, olive oil, mozzarella cheese, red Cheddar cheese, green apple, and a red apple. Served with crispy seafood balls.",AED 236,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,415,28,26,17
1,Hoods Resto & Bar,Risotto Seafood,"Risotto rice, baby shrimps, squid, clams, homemade sauce, Parmesan cheese, cooking cream, salt, and pepper. Topped with roasted jumbo shrimp.",AED 108,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,585,29,29,48
1,Hoods Resto & Bar,Salario Vegetable Pasta,"Choice of penne or fettucini pasta - choice of white, pink, or red sauce. Served with garlic bread.",AED 52,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,530,12,20,73
1,Hoods Resto & Bar,Salario Chicken Pasta,"Choice of penne or fettucini pasta - choice of white, pink, or red sauce. Served with garlic bread.",AED 65,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,550,27,20,67
1,Hoods Resto & Bar,Salario Shrimp Pasta,"Choice of penne or fettucini pasta. Choice of white, pink, or red sauce. Served with garlic bread.",AED 72,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,560,26,21,63
1,Hoods Resto & Bar,Kalamaja Beef Lasagna,"Bolognese sauce, béchamel sauce, lasagna sheets, Parmesan cheese, and mozzarella cheese. Served with garlic bread.",AED 67,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,720,34,35,65
1,Hoods Resto & Bar,Parioli Spaghetti Bolognese,Bolognese sauce mixed with spaghetti and Parmesan cheese. Served with garlic bread.,AED 68,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,590,25,18,71
1,Hoods Resto & Bar,Avocado Smoked Salmon Toast,"Protein brown bread, homemade guacamole sauce, smoked salmon, dill leaves, capers, and sea salt. Served with homemade sauce.",AED 48,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,360,15,18,36
1,Hoods Resto & Bar,Harlem Turkey and Cheese Sandwich,"White panini bread, turkey slices, cream cheese, lettuce, and tomato slices. Served with green salad.",AED 45,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,410,20,22,33
1,Hoods Resto & Bar,New York Philly Steak,"Submarine bread, beef strips, homemade sauce, caramelised onion, mushroom, red pepper, Cheddar cheese, and creamy cheese. Served with french fries.",AED 58,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,675,38,33,54
1,Hoods Resto & Bar,King Cross Chicken Fajita,"Tortilla bread, guacamole, sour cream, Mexican sauce, green pepper, red pepper, yellow pepper, and white onion. Served with french fries.",AED 52,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,610,24,27,63
1,Hoods Resto & Bar,Mini Burger,"Selection of beef or chicken, lettuce, grilled tomato, caramelised onion, cheese, and 3 types of homemade sauce. Sides of french fries, and ketchup.",AED 54,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,Mini Burger: 450,25,25,30
1,Hoods Resto & Bar,Hoods Burger Beef,"Beef patty, Cheddar cheese, lettuce, grilled tomato, caramelised onion, and homemade sauce. Served with french fries.",AED 68,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,Hoods Burger Beef: 550,30,30,45
1,Hoods Resto & Bar,Hoods Burger Chicken,"Fried chicken patty, Cheddar cheese, lettuce, grilled tomato, caramelised onion, and homemade sauce. Served with french fries.",AED 60,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,Hoods Burger Chicken: 600,35,35,50
1,Hoods Resto & Bar,Mexican Nachos Chicken Sandwich,"Spinach tortilla bread, Mexican marinated fried chicken, guacamole, jalapeño, nachos, Cheddar cheese, and mozzarella cheese. Side: guacamole sauce, sour cream sauce, and french fries.",AED 57,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,700,40,40,55
1,Hoods Resto & Bar,Akihabara Burrito Chicken,"Chicken, tortilla bread, guacamole, sour cream, red beans, red pepper, green pepper, yellow pepper, white onion, mozzarella cheese, Cheddar cheese, and Mexican rice. Served with guacamole sauce, sour cream sauce, and Mexican sauce.",AED 56,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,800,45,35,60
1,Hoods Resto & Bar,Akihabara Burrito Beef,"Beef, tortilla bread, guacamole, sour cream, red beans, red pepper, green pepper, yellow pepper, white onion, mozzarella cheese, Cheddar cheese, and Mexican rice. Served with guacamole sauce, sour cream, and Mexican sauce.",AED 62,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,850,50,40,65
2,Mosaic Restaurant ,Mashawi Deal,"3 Skewers shish tawouk, 2 skewers kafta, 2 skewers tikka meat, 2 skewers kabab, 1 arayes, served with fattoush, hommos, motabbal, and Garlic paste.",AED 215,https://deliveroo.ae/menu/Abu Dhabi/al-danah/mosaic-express-najda-marketplace?day=today&geohash=thqew2ggd2zv&time=ASAP,1200,70,60,80
2,Mosaic Restaurant ,Mix Meat And Chicken Shawarma Plate Deal,Mix meat and chicken shawarma plate served with small hummus and small fattoush,AED 55,https://deliveroo.ae/menu/Abu Dhabi/al-danah/mosaic-express-najda-marketplace?day=today&geohash=thqew2ggd2zv&time=ASAP,900,50,40,70
2,Mosaic Restaurant ,Value Meal For One,"Choose one main dish, one side dish, and dessert",AED 74,https://deliveroo.ae/menu/Abu Dhabi/al-danah/mosaic-express-najda-marketplace?day=today&geohash=thqew2ggd2zv&time=ASAP,950,37,45,95
2,Mosaic Restaurant ,Grilled Tawouk Deal,"Two Shish Tawouk skewers, French fries, small Hommos, mini Caesar salad, garlic, and pickles",AED 62,https://deliveroo.ae/menu/Abu Dhabi/al-danah/mosaic-express-najda-marketplace?day=today&geohash=thqew2ggd2zv&time=ASAP,700,40,30,45.
2,Mosaic Restaurant ,Family Arabic Shawarma Mix And Pepsi 1.25 L Deal,"Family Arabic shawarma mix platter, Pepsi 1.25 l, garlic paste, tahini, pomegranate syrup and hot mayo sauce",AED 130,https://deliveroo.ae/menu/Abu Dhabi/al-danah/mosaic-express-najda-marketplace?day=today&geohash=thqew2ggd2zv&time=ASAP,1100,35,50,120
2,Mosaic Restaurant ,3 Classic Chicken Shawarma Sandwiches,3 chicken shawarma sandwiches with garlic paste and pickles.,AED 29,https://deliveroo.ae/menu/Abu Dhabi/al-danah/mosaic-express-najda-marketplace?day=today&geohash=thqew2ggd2zv&time=ASAP,750,21,22,115
2,Mosaic Restaurant ,Chicken Shawarma Plate Deal,"Chicken shawarma plate served with French fries, small Hummus, small Fattoush and garlic paste",AED 55,https://deliveroo.ae/menu/Abu Dhabi/al-danah/mosaic-express-najda-marketplace?day=today&geohash=thqew2ggd2zv&time=ASAP,950,26,40,92
2,Mosaic Restaurant ,2 Beef Burgers With French Fries And 2 Pepsi,Two Lebanese beef burgers with French fries and your choice of two soft drinks,AED 59,https://deliveroo.ae/menu/Abu Dhabi/al-danah/mosaic-express-najda-marketplace?day=today&geohash=thqew2ggd2zv&time=ASAP,1050,36,43,97
2,Mosaic Restaurant ,Grilled Kafta Deal,"Two grilled kafta skewers, small Hommos, and small Fattoush",AED 59,https://deliveroo.ae/menu/Abu Dhabi/al-danah/mosaic-express-najda-marketplace?day=today&geohash=thqew2ggd2zv&time=ASAP,600,20,30,50
2,Mosaic Restaurant ,3 Classic Meat Shawarma Sandwiches,"Three classic Lebanese Meat Shawarma Sandwiches with tomato, pickles, onion and parsley, and Tahini sauce",AED 38,https://deliveroo.ae/menu/Abu Dhabi/al-danah/mosaic-express-najda-marketplace?day=today&geohash=thqew2ggd2zv&time=ASAP,900,34,40,78
2,Mosaic Restaurant ,2 Mashawi Sandwiches Plus Pepsi Deal,Your choice of 2 mashawi sandwiches and 1 soft drink.,AED 45,https://deliveroo.ae/menu/Abu Dhabi/al-danah/mosaic-express-najda-marketplace?day=today&geohash=thqew2ggd2zv&time=ASAP,800,25,36,90
